text,bbox,font_size,font_name,page_num,page_width,page_height,font_weight,x,y,norm_x,norm_y,text_length,num_words,is_all_caps,is_centered,numbering_depth,relative_font_size,percent_punct
Overview,"(252.64999389648438, 189.62002563476562, 365.9539489746094, 216.38002014160156)",24.0,"Arial,Bold",1,612.0,792.0,1,252.64999389648438,189.62002563476562,0.4128267874125562,0.23941922428632023,8,1,0,1,0,2.40963854498791,0.0
Foundation Level Extensions,"(139.3459930419922, 244.84402465820312, 479.3563537597656, 271.6040344238281)",24.0,"Arial,Bold",1,612.0,792.0,1,139.3459930419922,244.84402465820312,0.22768953111436632,0.3091464957805595,27,3,0,1,0,2.40963854498791,0.0
Version 1.0,"(275.69000244140625, 382.4300231933594, 339.8179931640625, 395.80999755859375)",12.0,Arial,1,612.0,792.0,0,275.69000244140625,382.4300231933594,0.4504738601983762,0.48286619090070626,11,2,0,1,0,1.204819272493955,0.09090909090909091
International Software Testing Qualifications Board,"(103.33999633789062, 465.6999816894531, 513.4158935546875, 485.7699890136719)",18.0,Arial,1,612.0,792.0,0,103.33999633789062,465.6999816894531,0.16885620316648794,0.5880050273856732,51,5,0,1,0,1.8072289087409326,0.0
"Copyright Notice This document may be copied in its entirety, or extracts made, if the source is acknowledged.","(70.94400024414062, 652.2861938476562, 484.9912109375, 674.9153442382812)",9.960000038146973,Arial,1,612.0,792.0,0,70.94400024414062,652.2861938476562,0.11592156902637357,0.8235936791005761,110,18,0,1,0,1.0,0.02727272727272727
International,"(447.9100036621094, 38.62621307373047, 505.6795349121094, 49.73161315917969)",9.960000038146973,Arial,2,612.0,792.0,0,447.9100036621094,38.62621307373047,0.7318790909511591,0.04877047105268999,13,1,0,0,0,1.0,0.0
Overview,"(74.42400360107422, 41.58000183105469, 127.78800964355469, 54.96000289916992)",12.0,Arial,2,612.0,792.0,0,74.42400360107422,41.58000183105469,0.1216078490213631,0.05250000231193774,8,1,0,0,0,1.204819272493955,0.0
Software Testing Foundation Level Extension – Agile Tester Qualifications Board,"(74.42400360107422, 50.14617156982422, 522.8401489257812, 72.77159118652344)",9.960000038146973,Arial,2,612.0,792.0,0,74.42400360107422,50.14617156982422,0.1216078490213631,0.0633158731942225,79,10,0,1,0,1.0,0.0
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,"(70.94400024414062, 120.36620330810547, 483.2471923828125, 131.4716033935547)",9.960000038146973,Arial,2,612.0,792.0,0,70.94400024414062,120.36620330810547,0.11592156902637357,0.1519775294294261,92,10,0,1,0,1.0,0.03260869565217391
"Version 2014 Page 2 of 12 May 31, 2014","(76.58135986328125, 718.683349609375, 533.1318359375, 730.0775756835938)",9.960000038146973,Trebuchet MS,2,612.0,792.0,0,76.58135986328125,718.683349609375,0.12513294095307395,0.9074284717290089,38,9,0,1,0,1.0,0.02631578947368421
© International Software Testing Qualifications Board,"(76.58399963378906, 736.8900146484375, 219.2940216064453, 743.5800170898438)",6.0,Arial,2,612.0,792.0,0,76.58399963378906,736.8900146484375,0.1251372543035769,0.9304166851621686,53,6,0,0,0,0.6024096362469775,0.0
International,"(447.9100036621094, 38.62621307373047, 505.6795349121094, 49.73161315917969)",9.960000038146973,Arial,3,612.0,792.0,0,447.9100036621094,38.62621307373047,0.7318790909511591,0.04877047105268999,13,1,0,0,0,1.0,0.0
Overview,"(74.42400360107422, 41.58000183105469, 127.78800964355469, 54.96000289916992)",12.0,Arial,3,612.0,792.0,0,74.42400360107422,41.58000183105469,0.1216078490213631,0.05250000231193774,8,1,0,0,0,1.204819272493955,0.0
Software Testing Foundation Level Extension – Agile Tester Qualifications Board,"(74.42400360107422, 50.14617156982422, 522.8402099609375, 72.77159118652344)",9.960000038146973,Arial,3,612.0,792.0,0,74.42400360107422,50.14617156982422,0.1216078490213631,0.0633158731942225,79,10,0,1,0,1.0,0.0
Revision History,"(70.94400024414062, 108.93620300292969, 201.52871704101562, 126.73160552978516)",15.960000038146973,"Arial,Bold",3,612.0,792.0,1,70.94400024414062,108.93620300292969,0.11592156902637357,0.13754571086228495,16,2,0,0,0,1.6024096362469775,0.0
Version Date Remarks,"(74.42400360107422, 139.44622802734375, 323.5996398925781, 150.55162048339844)",9.960000038146973,"Arial,Bold",3,612.0,792.0,1,74.42400360107422,139.44622802734375,0.1216078490213631,0.17606846973149462,20,3,0,0,0,1.0,0.0
0.1 18 JUNE 2013 Initial version 0.2 23 JULY 2013 WG reviewed and confirmed 0.3 6 NOV 2013 amended population and diagram 0.7 11 DEC 2013 Amended Business Outcomes and Chapters matching 0.8 20 DEC 2013 Working group updates on 0.7 1.0 31 MAY 2014 GA release for Agile Extension,"(74.42400360107422, 151.80621337890625, 522.174072265625, 224.1116180419922)",9.960000038146973,Arial,3,612.0,792.0,0,74.42400360107422,151.80621337890625,0.1216078490213631,0.19167451184205334,277,50,0,1,2,1.0,0.02527075812274368
"Version 2014 Page 3 of 12 May 31, 2014","(76.58399963378906, 718.6875610351562, 533.1344604492188, 730.081787109375)",9.960000038146973,Trebuchet MS,3,612.0,792.0,0,76.58399963378906,718.6875610351562,0.1251372543035769,0.9074337891858033,38,9,0,1,0,1.0,0.02631578947368421
© International Software Testing Qualifications Board,"(76.58399963378906, 736.8900146484375, 219.2940216064453, 743.5800170898438)",6.0,Arial,3,612.0,792.0,0,76.58399963378906,736.8900146484375,0.1251372543035769,0.9304166851621686,53,6,0,0,0,0.6024096362469775,0.0
International,"(447.9100036621094, 38.62621307373047, 505.6795349121094, 49.73161315917969)",9.960000038146973,Arial,4,612.0,792.0,0,447.9100036621094,38.62621307373047,0.7318790909511591,0.04877047105268999,13,1,0,0,0,1.0,0.0
Overview,"(74.42400360107422, 41.58000183105469, 127.78800964355469, 54.96000289916992)",12.0,Arial,4,612.0,792.0,0,74.42400360107422,41.58000183105469,0.1216078490213631,0.05250000231193774,8,1,0,0,0,1.204819272493955,0.0
Software Testing Foundation Level Extension – Agile Tester Qualifications Board,"(74.42400360107422, 50.14617156982422, 522.8401489257812, 72.77159118652344)",9.960000038146973,Arial,4,612.0,792.0,0,74.42400360107422,50.14617156982422,0.1216078490213631,0.0633158731942225,79,10,0,1,0,1.0,0.0
Table of Contents,"(70.94400024414062, 108.93620300292969, 208.75860595703125, 126.73160552978516)",15.960000038146973,"Arial,Bold",4,612.0,792.0,1,70.94400024414062,108.93620300292969,0.11592156902637357,0.13754571086228495,17,3,0,0,0,1.6024096362469775,0.0
.......................................................................................................................................... Revision History 3,"(70.94400024414062, 144.7261962890625, 543.4862060546875, 155.8315887451172)",9.960000038146973,"Arial,Bold",4,612.0,792.0,1,70.94400024414062,144.7261962890625,0.11592156902637357,0.18273509632457385,157,4,0,1,0,1.0,0.8789808917197452
........................................................................................................................................ Table of Contents 4,"(70.9439697265625, 162.1263427734375, 543.4862060546875, 173.2317352294922)",9.960000038146973,"Arial,Bold",4,612.0,792.0,1,70.9439697265625,162.1263427734375,0.11592151916104984,0.20470497824928977,156,5,0,1,0,1.0,0.8717948717948718
............................................................................ 1. Introduction to the Foundation Level Extensions 6,"(70.9439697265625, 179.64599609375, 543.4862060546875, 190.7513885498047)",9.960000038146973,"Arial,Bold",4,612.0,792.0,1,70.9439697265625,179.64599609375,0.11592151916104984,0.22682575264362373,129,9,0,1,0,1.0,0.5968992248062015
............................................................... 2. Introduction to Foundation Level Agile Tester Extension 7,"(70.9439697265625, 197.1656494140625, 543.4862060546875, 208.2710418701172)",9.960000038146973,"Arial,Bold",4,612.0,792.0,1,70.9439697265625,197.1656494140625,0.11592151916104984,0.2489465270379577,124,10,0,1,0,1.0,0.5161290322580645
..................................................................................................................... 2.1 Intended Audience 7 ............................................................................................................ 2.2 Career Paths for Testers 7 ................................................................................................................... 2.3 Learning Objectives 7 ................................................................................................................... 2.4 Entry Requirements 8 ................................................................................................... 2.5 Structure and Course Duration 8 ...................................................................................................................... 2.6 Keeping It Current 9,"(80.90396118164062, 214.8048095703125, 543.4961547851562, 283.4392395019531)",9.960000038146973,Arial,4,612.0,792.0,0,80.90396118164062,214.8048095703125,0.13219601500268077,0.2712181939019097,844,35,0,1,0,1.0,0.8033175355450237
Overview of the Foundation Level Extension – Agile Tester Syllabus ......................................... 3. 10,"(70.95391845703125, 288.2598571777344, 543.3507690429688, 301.5465087890625)",9.960000038146973,"Arial,Bold",4,612.0,792.0,1,70.95391845703125,288.2598571777344,0.11593777525658701,0.363964466133503,114,13,0,1,0,1.0,0.3684210526315789
................................................................................................................. 3.1 Business Outcomes 10 .................................................................................................................................... 3.2 Content 10,"(80.90402221679688, 307.37310791015625, 543.3507690429688, 329.8827209472656)",9.960000038146973,Arial,4,612.0,792.0,0,80.90402221679688,307.37310791015625,0.13219611473332823,0.3880973584724195,286,9,0,1,0,1.0,0.8636363636363636
.......................................................................................................................................... 4. References 12,"(70.94400024414062, 336.17742919921875, 543.3507690429688, 347.2828369140625)",9.960000038146973,"Arial,Bold",4,612.0,792.0,1,70.94400024414062,336.17742919921875,0.11592156902637357,0.42446645100911456,155,4,0,1,0,1.0,0.896774193548387
............................................................................................................................. 4.1 Trademarks 12 ....................................................................................................... 4.2 Documents and Web Sites 12,"(80.90402221679688, 353.81658935546875, 543.3607788085938, 376.4457092285156)",9.960000038146973,Arial,4,612.0,792.0,0,80.90402221679688,353.81658935546875,0.13219611473332823,0.4467381178730666,278,11,0,1,0,1.0,0.8273381294964028
"Version 2014 Page 4 of 12 May 31, 2014","(76.601318359375, 718.711181640625, 533.1517944335938, 730.1054077148438)",9.960000038146973,Trebuchet MS,4,612.0,792.0,0,76.601318359375,718.711181640625,0.12516555287479575,0.9074636131826074,38,9,0,1,0,1.0,0.02631578947368421
© International Software Testing Qualifications Board,"(76.58399963378906, 736.8900146484375, 219.2940216064453, 743.5800170898438)",6.0,Arial,4,612.0,792.0,0,76.58399963378906,736.8900146484375,0.1251372543035769,0.9304166851621686,53,6,0,0,0,0.6024096362469775,0.0
International,"(447.9100036621094, 38.62621307373047, 505.6795349121094, 49.73161315917969)",9.960000038146973,Arial,5,612.0,792.0,0,447.9100036621094,38.62621307373047,0.7318790909511591,0.04877047105268999,13,1,0,0,0,1.0,0.0
Overview,"(74.42400360107422, 41.58000183105469, 127.78800964355469, 54.96000289916992)",12.0,Arial,5,612.0,792.0,0,74.42400360107422,41.58000183105469,0.1216078490213631,0.05250000231193774,8,1,0,0,0,1.204819272493955,0.0
Software Testing Foundation Level Extension – Agile Tester Qualifications Board,"(74.42400360107422, 50.14617156982422, 522.8401489257812, 72.77159118652344)",9.960000038146973,Arial,5,612.0,792.0,0,74.42400360107422,50.14617156982422,0.1216078490213631,0.0633158731942225,79,10,0,1,0,1.0,0.0
Acknowledgements,"(70.94400024414062, 108.93620300292969, 213.7381591796875, 126.73160552978516)",15.960000038146973,Arial,5,612.0,792.0,0,70.94400024414062,108.93620300292969,0.11592156902637357,0.13754571086228495,16,1,0,0,0,1.6024096362469775,0.0
This document was produced by a team from the International Software Testing Qualifications Board Foundation Level Working Group.,"(70.94400024414062, 144.84619140625, 518.44384765625, 167.3557586669922)",9.960000038146973,Arial,5,612.0,792.0,0,70.94400024414062,144.84619140625,0.11592156902637357,0.1828866053109217,129,18,0,1,0,1.0,0.007751937984496124
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,"(70.94400024414062, 179.287841796875, 542.4205322265625, 190.3932342529297)",9.960000038146973,Arial,5,612.0,792.0,0,70.94400024414062,179.287841796875,0.11592156902637357,0.2263735376223169,104,17,0,1,0,1.0,0.009615384615384616
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).","(70.94400024414062, 202.3253173828125, 542.8787231445312, 247.91221618652344)",9.960000038146973,Arial,5,612.0,792.0,0,70.94400024414062,202.3253173828125,0.11592156902637357,0.25546125932173297,384,53,0,1,0,1.0,0.059895833333333336
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.","(70.94400024414062, 259.84429931640625, 509.54266357421875, 282.4734191894531)",9.960000038146973,Arial,5,612.0,792.0,0,70.94400024414062,259.84429931640625,0.11592156902637357,0.32808623651061397,165,24,0,1,0,1.0,0.06666666666666667
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen, Robert Treffny, Chris Van Bael, and Erik van Veenendaal.","(70.94400024414062, 294.2859802246094, 529.5333862304688, 339.9625244140625)",9.960000038146973,Arial,5,612.0,792.0,0,70.94400024414062,294.2859802246094,0.11592156902637357,0.37157320735430477,340,41,0,1,0,1.0,0.061764705882352944
"The team thanks also the following persons, from the National Boards and the Agile expert community, who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes, Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung, Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde, Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.","(70.9439697265625, 351.77508544921875, 542.8687133789062, 466.49444580078125)",9.960000038146973,Arial,5,612.0,792.0,0,70.9439697265625,351.77508544921875,0.11592151916104984,0.44416046142578125,991,141,0,1,0,1.0,0.05953582240161453
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31, 2014.","(70.9439697265625, 478.3069763183594, 526.2843627929688, 500.93609619140625)",9.960000038146973,Arial,5,612.0,792.0,0,70.9439697265625,478.3069763183594,0.11592151916104984,0.6039229498969184,102,18,0,1,0,1.0,0.0196078431372549
"Version 2014 Page 5 of 12 May 31, 2014","(76.58135986328125, 718.7413940429688, 533.1318359375, 730.1356201171875)",9.960000038146973,Trebuchet MS,5,612.0,792.0,0,76.58135986328125,718.7413940429688,0.12513294095307395,0.9075017601552636,38,9,0,1,0,1.0,0.02631578947368421
© International Software Testing Qualifications Board,"(76.58399963378906, 736.8900146484375, 219.2940216064453, 743.5800170898438)",6.0,Arial,5,612.0,792.0,0,76.58399963378906,736.8900146484375,0.1251372543035769,0.9304166851621686,53,6,0,0,0,0.6024096362469775,0.0
International,"(447.9100036621094, 38.62621307373047, 505.6795349121094, 49.73161315917969)",9.960000038146973,Arial,6,612.0,792.0,0,447.9100036621094,38.62621307373047,0.7318790909511591,0.04877047105268999,13,1,0,0,0,1.0,0.0
Overview,"(74.42400360107422, 41.58000183105469, 127.78800964355469, 54.96000289916992)",12.0,Arial,6,612.0,792.0,0,74.42400360107422,41.58000183105469,0.1216078490213631,0.05250000231193774,8,1,0,0,0,1.204819272493955,0.0
Software Testing Foundation Level Extension – Agile Tester Qualifications Board,"(74.42400360107422, 50.14617156982422, 522.8402099609375, 72.77159118652344)",9.960000038146973,Arial,6,612.0,792.0,0,74.42400360107422,50.14617156982422,0.1216078490213631,0.0633158731942225,79,10,0,1,0,1.0,0.0
1. Introduction to the Foundation Level Extensions,"(70.94400024414062, 122.97618103027344, 466.01934814453125, 140.77157592773438)",15.960000038146973,Arial,6,612.0,792.0,0,70.94400024414062,122.97618103027344,0.11592156902637357,0.15527295584630485,50,7,0,1,1,1.6024096362469775,0.02
This overview document is intended for anyone with an interest in the ISTQB Foundation Level Extensions who wants a high-level introduction to the leading principles and an overview of the individual extension syllabi.,"(70.94398498535156, 146.28619384765625, 543.972412109375, 180.43907165527344)",9.960000038146973,Arial,6,612.0,792.0,0,70.94398498535156,146.28619384765625,0.1159215440937117,0.18470479021168718,218,33,0,1,0,1.0,0.009174311926605505
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the updated document will be available on the ISTQB website.","(70.94398498535156, 192.25164794921875, 544.0928344726562, 226.40452575683594)",9.960000038146973,Arial,6,612.0,792.0,0,70.94398498535156,192.25164794921875,0.1159215440937117,0.24274197973386205,261,42,0,1,0,1.0,0.01532567049808429
"The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for some time. New topics emerge due to technology and methodology changes in the market which often are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but that is beyond the scope of this document.","(70.94398498535156, 238.36651611328125, 544.078857421875, 318.49468994140625)",9.960000038146973,Arial,6,612.0,792.0,0,70.94398498535156,238.36651611328125,0.1159215440937117,0.3009678233753551,647,107,0,1,0,1.0,0.013910355486862442
The following Foundation Level Extension syllabus has been released:  Agile Tester,"(70.94400787353516, 330.3072509765625, 385.5306396484375, 354.36065673828125)",9.960000038146973,Arial,6,612.0,792.0,0,70.94400787353516,330.3072509765625,0.1159215814927045,0.41705460981889203,83,12,0,1,0,1.0,0.012048192771084338
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business Outcomes are stated. The Business Outcomes communicate what can be expected from a person who achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and will outline the benefits for companies that are considering the development of specific testing skills at this level.","(70.95396423339844, 365.466064453125, 544.0629272460938, 422.6862487792969)",9.960000038146973,Arial,6,612.0,792.0,0,70.95396423339844,365.466064453125,0.1159378500545726,0.46144705107717804,420,62,0,1,0,1.0,0.02142857142857143
"Version 2014 Page 6 of 12 May 31, 2014","(76.59132385253906, 718.727294921875, 533.1417846679688, 730.1215209960938)",9.960000038146973,Trebuchet MS,6,612.0,792.0,0,76.59132385253906,718.727294921875,0.12514922198127298,0.9074839582346906,38,9,0,1,0,1.0,0.02631578947368421
© International Software Testing Qualifications Board,"(76.58399963378906, 736.8900146484375, 219.2940216064453, 743.5800170898438)",6.0,Arial,6,612.0,792.0,0,76.58399963378906,736.8900146484375,0.1251372543035769,0.9304166851621686,53,6,0,0,0,0.6024096362469775,0.0
International,"(447.9100036621094, 38.62621307373047, 505.6795349121094, 49.73161315917969)",9.960000038146973,Arial,7,612.0,792.0,0,447.9100036621094,38.62621307373047,0.7318790909511591,0.04877047105268999,13,1,0,0,0,1.0,0.0
Overview,"(74.42400360107422, 41.58000183105469, 127.78800964355469, 54.96000289916992)",12.0,Arial,7,612.0,792.0,0,74.42400360107422,41.58000183105469,0.1216078490213631,0.05250000231193774,8,1,0,0,0,1.204819272493955,0.0
Software Testing Foundation Level Extension – Agile Tester Qualifications Board,"(74.42400360107422, 50.14617156982422, 522.8402099609375, 72.77159118652344)",9.960000038146973,Arial,7,612.0,792.0,0,74.42400360107422,50.14617156982422,0.1216078490213631,0.0633158731942225,79,10,0,1,0,1.0,0.0
2. Introduction to Foundation Level Agile Tester Extension,"(70.94400024414062, 122.97618103027344, 523.0668334960938, 140.77157592773438)",15.960000038146973,Arial,7,612.0,792.0,0,70.94400024414062,122.97618103027344,0.11592156902637357,0.15527295584630485,58,8,0,1,1,1.6024096362469775,0.017241379310344827
"The certification for Foundation Level Extension – Agile Tester is designed for professionals who are working within Agile environments. It is also for professionals who are planning to start implementing Agile methods in the near future, or are working within companies that plan to do so, The certification provides an advantage for those who would like to know the required Agile activities, roles, methods, and methodologies specific to their role.","(70.94400024414062, 144.81210327148438, 544.0919799804688, 203.3669891357422)",9.960000038146973,Arial,7,612.0,792.0,0,70.94400024414062,144.81210327148438,0.11592156902637357,0.1828435647367227,452,70,0,1,0,1.0,0.015486725663716814
2.1 Intended Audience,"(70.94400024414062, 217.35379028320312, 218.7164764404297, 233.00839233398438)",14.039999961853027,Arial,7,612.0,792.0,0,70.94400024414062,217.35379028320312,0.11592156902637357,0.27443660389293323,21,3,0,0,2,1.40963854498791,0.047619047619047616
"The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals: 1. Professionals who have achieved in-depth testing experience in traditional methods and would like to get an Agile Tester Certificate. 2. Junior professional testers who are just starting in the testing profession, have received the Foundation Level certificate, and would like to know more about the tester’s role in an Agile environment. 3. Professionals who are relatively new to testing and are required to implement test approaches, methods and techniques in their day to day job in Agile projects. 4. Professionals who are experienced in their role (including unit testing) and need more understanding and knowledge about how to perform and manage testing on all levels in Agile projects.","(70.94400024414062, 239.40213012695312, 544.0948486328125, 367.09930419921875)",9.960000038146973,Arial,7,612.0,792.0,0,70.94400024414062,239.40213012695312,0.11592156902637357,0.302275416826961,803,125,0,1,0,1.0,0.0186799501867995
